,Caller,Assignment group,New Description,Clean_Description,language
4460,qfetblky iwflmhuc,GRP_34,"bitte für oben genannten ordner schreib- und leserecht freischalten. der ordner wird zur täglichen arbeit benötigt freischaltung des ordners ""ce ap daten"" im laufwerk departmenst \\HostName_579 (m:)",bitte r oben genannten ordner schreib und leserecht freischalten der ordner wird zur glichen arbeit ben tigt freischaltung des ordners ce ap daten im laufwerk departmenst HostName m,de
4468,ukvlnrwb fiyeczmh,GRP_42,pc eemw8144218 und drucker im abstechprogramdntym aufstellen pc eemw8144218 und drucker im abstechprogramdntym aufstellen,pc eemw und drucker im abstechprogramdntym aufstellen pc eemw und drucker im abstechprogramdntym aufstellen,de
4473,ltxzfcgm sxvigclz,GRP_42,drucker em93 (bei frau zeilmann) defekt: das papier wird während des druck-/kopiervorganges geknittert. drucker em93 (bei frau zeilmann) defekt: das papier wird während des druck-/kopiervorganges geknittert.,drucker em bei frau zeilmann defekt das papier wird hrend des druck kopiervorganges geknittert drucker em bei frau zeilmann defekt das papier wird hrend des druck kopiervorganges geknittert,de
4571,ljxzyriq zqxkrcev,GRP_33,maschinen pc von r241 im bereich kentip lässt sich nicht mehr starten; maschinen pc von r241 im bereich kentip lässt sich nicht mehr starten;,maschinen pc von im bereich kentip sst sich nicht mehr starten maschinen pc von im bereich kentip sst sich nicht mehr starten,de
4572,jnktafrs ytxiowbh,GRP_0,"wenn ich am rechner evh8114148 im erp eine zeichnung öffnen will schließt erp. dann muss ich mich neu einloggen.
es wurden bereits zwei tickets geschrieben. aber das problem wurde bisher nicht behoben. erp probleme",wenn ich am rechner evh im erp eine zeichnung ffnen will schlie erp dann muss ich mich neu einloggen es wurden bereits zwei tickets geschrieben aber das problem wurde bisher nicht behoben erp probleme,de
4576,cflrqoew qbgjwaye,GRP_24,"

received from: cflrqoew.qbgjwaye@gmail.com

hallo

können sie mir helfen, die unten gekennzeichnete datenbank plant_113 stock report_daily.xlsx auf den 12.09.16 zurückzusetzen
danke

[cid:image001.png@01d20db4.06570281]

cflrqoew qbgjwaye
process planning
cflrqoew.qbgjwaye@gmail.com<mailto:cflrqoew.qbgjwaye@gmail.com>

company company produktions gmbh & co. kg, geschäftsführer: dr. jofghyuach fabry, phvkowml azbtkqwx, naruedlk mpvhakdq


diese mitteilung ist einzig und allein für die nutzung durch den adressaten bestimmt und kann informationen enthalten, die schutzwürdig, vertraulich oder nach geltendem recht von der offenlegung ausgenommen sind. die verbreitung, verteilung oder vervielfältigung dieser mitteilung durch personen, bei denen es sich nicht um die beabsichtigten empfänger handelt, ist streng verboten. wenn diese mitteilung aufgrund eines versehens bei ihnen eingegangen ist, dann benachrichtigen sie bitte den absender und löschen sie diese mitteilung.
[#+company/posts>  [
select the following link to view the disclaimer in an alternate language.  zurücksetzen auf 12.09.2016",hallo nnen sie mir helfen die unten gekennzeichnete datenbank plant stock report daily xlsx auf den zur ckzusetzen danke cflrqoew qbgjwaye process planning company company produktions gmbh and co kg gesch ftsf hrer dr jofghyuach fabry phvkowml azbtkqwx naruedlk mpvhakdq diese mitteilung ist einzig und allein r die nutzung durch den adressaten bestimmt und kann informationen enthalten die schutzw rdig vertraulich oder nach geltendem recht von der offenlegung ausgenommen sind die verbreitung verteilung oder vervielf ltigung dieser mitteilung durch personen bei denen es sich nicht um die beabsichtigten empf nger handelt ist streng verboten wenn diese mitteilung aufgrund eines versehens bei ihnen eingegangen ist dann benachrichtigen sie bitte den absender und schen sie diese mitteilung company posts select the following link to view the disclaimer in an alternate language zur cksetzen auf,de
4578,xwirzvda okhyipgr,GRP_24,zeiterfassung funktioniert nicht \we_qs \qualitätsmanagement \xwirzvda okhyipgr zeiterfassung funktioniert nicht \we_qs \qualitätsmanagement \xwirzvda okhyipgr,zeiterfassung funktioniert nicht we qs qualit tsmanagement xwirzvda okhyipgr zeiterfassung funktioniert nicht we qs qualit tsmanagement xwirzvda okhyipgr,de
4579,jionmpsf wnkpzcmv,GRP_24,canner metroligic für rechner we_wu160 defekt \zedlet scanner metroligic für rechner we_wu160 defekt \zedlet,canner metroligic r rechner we wu defekt zedlet scanner metroligic r rechner we wu defekt zedlet,de
4589,pltkqrfd bfohnjmz,GRP_29,"

received from: pltkqrfd.bfohnjmz@gmail.com

guten morgen,

wie eben mit hotline besprochen, sende ich die fehlermeldung die beim einkaufen in purchasing katalog erscheint.

[cid:hardcopy-cid]

contact : fehler bei bestellung in -purchasing- katalog",guten morgen wie eben mit hotline besprochen sende ich die fehlermeldung die beim einkaufen in purchasing katalog erscheint cid hardcopy cid contact fehler bei bestellung in purchasing katalog,de
4638,slrgconp onukdesq,GRP_0,unlocked erp SID_34  unlocked erp SID_34 ,unlocked erp SID unlocked erp SID,de
4669,tczxaubk aupnwqoi,GRP_42,beim transport des druckerpapiers treten in regelmäßigen abständen einkerbungen auf. papiereinzug defekt?  bei drucker em98 papiertransport defekt,beim transport des druckerpapiers treten in regelm igen abst nden einkerbungen auf papiereinzug defekt bei drucker em papiertransport defekt,de
4684,dgwrmsja jzlpwuit,GRP_0,"

received from: dgwrmsja.jzlpwuit@gmail.com

hallo,

bitte für wothyehre die passwörter für windows und erp freimachen!

danke

mit freundlichen grüßen/best  passwörter wothyehre",hallo bitte r wothyehre die passw rter r windows und erp freimachen danke mit freundlichen gr en best passw rter wothyehre,de
4692,scedxqur pocxqtrl,GRP_34,"

received from: ughzilfm.cfibdamq@gmail.com

hallo ,

bitte k1 konten  erzeugen .

referenz  user : twdyzsfr gjedmfvh

auftraggeber : scedxqur pocxqtrl


 bitte konten  erzeugen",hallo bitte konten erzeugen referenz user twdyzsfr gjedmfvh auftraggeber scedxqur pocxqtrl bitte konten erzeugen,de
4695,htvepyua izgulrcf,GRP_24,"guten morgen,

bitte die schreib / leseberechtigung  für ordner m:staebefertigung einrichten.

danke



 

freundliche grüße / kind  bitte die schreib / leseberechtigung  für ordner m:staebefertigung einrichten.",guten morgen bitte die schreib leseberechtigung r ordner staebefertigung einrichten danke freundliche gr kind bitte die schreib leseberechtigung r ordner staebefertigung einrichten,de
4714,jionmpsf wnkpzcmv,GRP_24,"hallo 

der rechner von unseren schichtführern h.gabryltk, h.byczkowski, h.stankewitz ist defekt.
kannst du bitte mal vorbeikommen.
 der rechner von unseren schichtführern h.gabryltk, h.byczkowski, h.stankewitz ist defekt.",hallo der rechner von unseren schichtf hrern gabryltk byczkowski stankewitz ist defekt kannst du bitte mal vorbeikommen der rechner von unseren schichtf hrern gabryltk byczkowski stankewitz ist defekt,de
4715,jionmpsf wnkpzcmv,GRP_24,rechner für messvorrichtung steli funktioniert nicht \zedlet rechner für messvorrichtung steli funktioniert nicht \zedlet,rechner r messvorrichtung steli funktioniert nicht zedlet rechner r messvorrichtung steli funktioniert nicht zedlet,de
4717,pfjwinbg ljtzbdqg,GRP_24,probleme mit öffnen m:\wsb_exe \we_wu102 \pfjwinbg ljtzbdqg probleme mit öffnen m:\wsb_exe \we_wu102 \pfjwinbg ljtzbdqg,probleme mit ffnen wsb exe we wu pfjwinbg ljtzbdqg probleme mit ffnen wsb exe we wu pfjwinbg ljtzbdqg,de
4719,qkedpfyj qechgaty,GRP_33,"datenlogger opus20 thip q475024, wird zur überwachung der raumtemperatur benötigt, findet nach der externen wartung keine netzwerkverbindung zum pc der pmü datenlogger opus20 thip q475024 kann keine verbindung herstellen",datenlogger opus thip wird zur berwachung der raumtemperatur ben tigt findet nach der externen wartung keine netzwerkverbindung zum pc der pm datenlogger opus thip kann keine verbindung herstellen,de
4880,pfjwinbg ljtzbdqg,GRP_24,install zebra \we_wu102 \pfjwinbg ljtzbdqg install zebra \we_wu102 \pfjwinbg ljtzbdqg,install zebra we wu pfjwinbg ljtzbdqg install zebra we wu pfjwinbg ljtzbdqg,de
4888,wyotidgu nydzrtuw,GRP_33,auf grund das ich ab jetzt einen tag in der woche in germany bin um die azubis die in germany  stationiert sind zu betreuen benötige ich einen arbeitsplatz in germany. arbeitsplatz: pc+telefon in germany im büro küffner/wölfel einrichten,auf grund das ich ab jetzt einen tag in der woche in germany bin um die azubis die in germany stationiert sind zu betreuen ben tige ich einen arbeitsplatz in germany arbeitsplatz pc telefon in germany im ro ffner lfel einrichten,de
4891,xfznctqa xstndbwa,GRP_10,"

received from: ida.financial@company.com

hallo,

die erp transaktion pr05 zeigt folgende fehlermeldung:


[cid:image001.png@01d20a74.bee4de80]

mit freundlichen grüßen

ida financial
quality technician

email: ida.financial@company.com<mailto:ida.financial@company.com>


geschäftsführer/managing directors: phvkowml azbtkqwx, naruedlk mpvhakdq

 erp transaktion pr05 funktioniert nicht",hallo die erp transaktion pr zeigt folgende fehlermeldung mit freundlichen gr en ida financial quality technician email gesch ftsf hrer managing directors phvkowml azbtkqwx naruedlk mpvhakdq erp transaktion pr funktioniert nicht,de
4896,gasbfqvp fmvqgjih,GRP_33,bei mp60 funktioniert das fax nicht mehr. printer problem / issue information,bei mp funktioniert das fax nicht mehr printer problem issue information,de
4897,pnroqajb psbyfhkg,GRP_0,"

received from: pnroqajb.psbyfhkg@gmail.com

hallo helpteam,

im departmentlaufwerk von germany steel ist im ordner ehs der unterordner mbs verschwunden. bitte wieder herstellen.

vielen dank!

viele grüße / best  ordner mbs",hallo helpteam im departmentlaufwerk von germany steel ist im ordner ehs der unterordner mbs verschwunden bitte wieder herstellen vielen dank viele gr best ordner mbs,de
4916,tfrbwoua aegpkruc,GRP_42,"netzwerkkabel des erp druckers em 19 verlängern (büro heiner sponsel) netzwerkkabel des erp druckers verlängern,",netzwerkkabel des erp druckers em verl ngern ro heiner sponsel netzwerkkabel des erp druckers verl ngern,de
4971,zaeduhlt jdgsamtv,GRP_25,"

received from: zaeduhlt.jdgsamtv@gmail.com

hallo,

ich habe ein problem beim übertragen eines berirtchts in das engineering tool system.

siehe das gelbe feld unten.
schon mehrere male habe ich die felder ausgefüllt und gespeichert.

wenn ich den berirtcht in das system übertagen möchte, gibt es eine fehlermeldung:

siehe anhang



[cid:image001.png@01d209bf.4ac78940]

mit freundlichen grüßen / with best  problem in engineering tool",hallo ich habe ein problem beim bertragen eines berirtchts in das engineering tool system siehe das gelbe feld unten schon mehrere male habe ich die felder ausgef llt und gespeichert wenn ich den berirtcht in das system bertagen chte gibt es eine fehlermeldung siehe anhang mit freundlichen gr en with best problem in engineering tool,de
4977,xfznctqa xstndbwa,GRP_33,"hp drucker cp3525 defekt, wurde bereits ausgetauscht (hp laserjet 500) drucker hp laserjet 3525 (mp 72) defekt",hp drucker cp defekt wurde bereits ausgetauscht hp laserjet drucker hp laserjet mp defekt,de
4979,jionmpsf wnkpzcmv,GRP_24,rechner für messvorrichtung steli funktioniert nicht \jionmpsf wnkpzcmv rechner für messvorrichtung steli funktioniert nicht \jionmpsf wnkpzcmv,rechner r messvorrichtung steli funktioniert nicht jionmpsf wnkpzcmv rechner r messvorrichtung steli funktioniert nicht jionmpsf wnkpzcmv,de
4982,cudgevmx waqslrbd,GRP_24,rechner nach update startet nicht \ewew8323649 \cudgevmx waqslrbd rechner nach update startet nicht \ewew8323649 \cudgevmx waqslrbd,rechner nach update startet nicht ewew cudgevmx waqslrbd rechner nach update startet nicht ewew cudgevmx waqslrbd,de
4985,hgufmidr mfobkyun,GRP_13,"kunde 81125605 / cc5202 erhält unsere rechnungen per e-mail - rechnungsempfänger 81151242 / cc5202 - empfangende e-mail adresse rechnungseingang@sew-eurodrive.de bis zum 01.08.16 hat der kunde problemlos die rechnungen erhalten. ab dem 02.08.16 nicht mehr. dem kunden liegen die rechnungen somit nicht vor und werden deshalb auch nicht bezahlt. ich kann keine änderung feststellen  und bitte deshalb um klärung. danke. 


translation : 
customer 81125605 / cc5202 receive our inwarehouse_tools by email - inwarehouse_tool recipient 70,040,131 / cc5202 - receiving email address rechnungseingang@sew-eurodrive.de until 01:08:16 the customer easily get the bills. from 02:08:16 not. the customer therefore not be before the bills and are therefore not paid. i can not detect any change and therefore ask for clarification.  kein rechnungseingang beim kunden per e-mail ",kunde cc erh lt unsere rechnungen per mail rechnungsempf nger cc empfangende mail adresse bis zum hat der kunde problemlos die rechnungen erhalten ab dem nicht mehr dem kunden liegen die rechnungen somit nicht vor und werden deshalb auch nicht bezahlt ich kann keine nderung feststellen und bitte deshalb um kl rung danke translation customer cc receive our inwarehouse tools by email inwarehouse tool recipient cc receiving email address until the customer easily get the bills from not the customer therefore not be before the bills and are therefore not paid can not detect any change and therefore ask for clarification kein rechnungseingang beim kunden per mail,de
4992,sgnubadl gpkovbah,GRP_24,"der pc (ganz alter pc) am halbautomaten schaltet sich anscheinend wg. hitze ab.
lüfter vom netzteil dreht nicht !

 probleme mit laser",der pc ganz alter pc am halbautomaten schaltet sich anscheinend wg hitze ab fter vom netzteil dreht nicht probleme mit laser,de
4995,ypladjeu wzfryxav,GRP_12,"hallo marfhtyio.
mit dem freischalten von srgtycha geht klar.
würdest du bitte den hr. bxgwyamr hjbukvcq personalnr. 10056553
und den hr. wjzvabrl bmcfrlyz personalnr. 10560825
ebenfalls freischalten.
danke im voraus.


mfg. reinhard

von: yevirgnl ylhogjct 
gesendet: mittwoch, 7. september 2016 09:04
an: ypladjeu wzfryxav
cc: hqyfebtd pkmyrdga
betreff: wg: zugriffsrechte

hallo reinhard,

ich bitte um ein approval (ok) für den zugriff.

gruss
marfhtyio

mit freundlichen grüssen / best  fc für departments\skv-alicona",hallo marfhtyio mit dem freischalten von srgtycha geht klar rdest du bitte den hr bxgwyamr hjbukvcq personalnr und den hr wjzvabrl bmcfrlyz personalnr ebenfalls freischalten danke im voraus mfg reinhard von yevirgnl ylhogjct gesendet mittwoch an ypladjeu wzfryxav hqyfebtd pkmyrdga betreff wg zugriffsrechte hallo reinhard ich bitte um ein approval ok r den zugriff gruss marfhtyio mit freundlichen gr ssen best fc r departments skv alicona,de
4997,htvepyua izgulrcf,GRP_12,"guten morgen,

bitte die schreib / leseberechtigung  für ordner m:_scan\we47 einrichten.

danke


 

freundliche grüße / kind  fc auf departments\_scan\we47",guten morgen bitte die schreib leseberechtigung r ordner scan we einrichten danke freundliche gr kind fc auf departments scan we,de
5068,lzpuyrvw zkxbacvn,GRP_34,unter departments (\\HostName_579) (m:) unter info/freigabe ordner beschichtung mit allen unterordnern  freigabe auf ordner für ytcxjzue guplftok (krafghyumec1) und zbijdqpg ehpjkwio (dinktyhed),unter departments HostName unter info freigabe ordner beschichtung mit allen unterordnern freigabe auf ordner r ytcxjzue guplftok krafghyumec und zbijdqpg ehpjkwio dinktyhed,de
5189,osjqfbvw hlmgrfpx,GRP_28,"

received from: osjqfbvw.hlmgrfpx@gmail.com

hallo,

unser netzwerkdrucker ag71 hört nicht mehr auf zu drucken.
ein ""gast"" scheint versehentlich immer neue druckaufträge zu generieren bzw. laut service techniker vom hersteller hp ist wohl ein spool auftrag im netz gespeichert – wir können die druckaufträge nicht sehen, nachverfolgen oder stoppen.

alle versuche, die druckaufträge abzubrechen, sind fehlgeschlagen, auch ein ziehen des steckers oder des lan-kabels nützt nichts.

wer kann helfen?
laut hp sollte das der administrator können.

danke.

gabryltke schütt
human resources
osjqfbvw.hlmgrfpx@gmail.com<mailto:osjqfbvw.hlmgrfpx@gmail.com>


company shared services gmbh
geschäftsführer: phvkowml azbtkqwx, naruedlk mpvhakdq


diese mitteilung ist einzig und allein für die nutzung durch den adressaten bestimmt und kann informationen enthalten, die schutzwürdig, vertraulich oder nach geltendem recht von der offenlegung ausgenommen sind. die verbreitung, verteilung oder vervielfältigung dieser mitteilung durch personen, bei denen es sich nicht um die beabsichtigten empfänger handelt, ist streng verboten. wenn diese mitteilung aufgrund eines versehens bei ihnen eingegangen ist, dann benachrichtigen sie bitte den absender und löschen sie diese mitteilung.
[#+company/posts>  [
select the following link to view the disclaimer in an alternate language.  drucker ag71 in fürth",hallo unser netzwerkdrucker ag rt nicht mehr auf zu drucken ein gast scheint versehentlich immer neue druckauftr ge zu generieren bzw laut service techniker vom hersteller hp ist wohl ein spool auftrag im netz gespeichert wir nnen die druckauftr ge nicht sehen nachverfolgen oder stoppen alle versuche die druckauftr ge abzubrechen sind fehlgeschlagen auch ein ziehen des steckers oder des lan kabels tzt nichts wer kann helfen laut hp sollte das der administrator nnen danke gabryltke sch tt human resources company shared services gmbh gesch ftsf hrer phvkowml azbtkqwx naruedlk mpvhakdq diese mitteilung ist einzig und allein r die nutzung durch den adressaten bestimmt und kann informationen enthalten die schutzw rdig vertraulich oder nach geltendem recht von der offenlegung ausgenommen sind die verbreitung verteilung oder vervielf ltigung dieser mitteilung durch personen bei denen es sich nicht um die beabsichtigten empf nger handelt ist streng verboten wenn diese mitteilung aufgrund eines versehens bei ihnen eingegangen ist dann benachrichtigen sie bitte den absender und schen sie diese mitteilung company posts select the following link to view the disclaimer in an alternate language drucker ag in rth,de
5206,pfjwinbg ljtzbdqg,GRP_24,install zebra \we_wu101 \pfjwinbg ljtzbdqg install zebra \we_wu101 \pfjwinbg ljtzbdqg,install zebra we wu pfjwinbg ljtzbdqg install zebra we wu pfjwinbg ljtzbdqg,de
5224,dknejifu dljvtebc,GRP_24,probleme mit we95\ drucker druckt nicht \dknejifu dljvtebc probleme mit we95\ drucker druckt nicht \dknejifu dljvtebc,probleme mit we drucker druckt nicht dknejifu dljvtebc probleme mit we drucker druckt nicht dknejifu dljvtebc,de
5240,htvepyua izgulrcf,GRP_12,"hallo marfhtyio,

bitte richte mir die lese- / schreibberechtigung für m:\kbt-auftrgasbearb ein.

danke  anfghyudrejy


 

freundliche grüße / kind  lese- / schreibberechtigung für m:\kbt-auftrgasbearb",hallo marfhtyio bitte richte mir die lese schreibberechtigung r kbt auftrgasbearb ein danke anfghyudrejy freundliche gr kind lese schreibberechtigung r kbt auftrgasbearb,de
5281,jclrangd kjlnearz,GRP_0,"

received from: jclrangd.kjlnearz@gmail.com

hallo frau muejkipler,

ich hoffe sie sind für diesen fall die richtige ansprechpartnerin bzw. wissen wer hier herrn plnvcwuq ikupsjhb noch weiter helfen kann.
herr voigt ist nicht mehr greifbar und herr gerberghty im urlaub. ich würde vermuten, dass hier eine direkte klärung und mithilfe bzgl. beurteilung u.a. der telekom notwendig ist.

allerdings ist mir nicht bekannt wie aktuell der stand im unternehmen company ist bzgl. ip umstellung.
oder müssen wir warten bis herr gerberghty aus dem urlaub ist !?

mit freundlichen grüßen / with kind  ""scghhnelligkeit"" meines internets plnvcwuq ikupsjhb ( umstellung auf ip / anpassung router speedport w504v !? ) ",hallo frau muejkipler ich hoffe sie sind r diesen fall die richtige ansprechpartnerin bzw wissen wer hier herrn plnvcwuq ikupsjhb noch weiter helfen kann herr voigt ist nicht mehr greifbar und herr gerberghty im urlaub ich rde vermuten dass hier eine direkte kl rung und mithilfe bzgl beurteilung a der telekom notwendig ist allerdings ist mir nicht bekannt wie aktuell der stand im unternehmen company ist bzgl ip umstellung oder ssen wir warten bis herr gerberghty aus dem urlaub ist mit freundlichen gr en with kind scghhnelligkeit meines internets plnvcwuq ikupsjhb umstellung auf ip anpassung router speedport wv,de
5285,cflrqoew qbgjwaye,GRP_12,"hallo 

würdest du bitte diese datei ""o:\schaem\eigene dateien\db1.mdb"" zurücksetzen

 
es scheint alles nicht mehr zu funktionieren
danke

cflrqoew qbgjwaye
process planning
cflrqoew.qbgjwaye@gmail.com

 restore o:\schaem\eigene dateien\db1.mdb",hallo rdest du bitte diese datei schaem eigene dateien db mdb zur cksetzen es scheint alles nicht mehr zu funktionieren danke cflrqoew qbgjwaye process planning restore schaem eigene dateien db mdb,de
5286,vzqomdgt jwoqbuml,GRP_12,"hallo marfhtyio,


der ordner schulzgth aus dem laufwerk public (\\HostName_717)ist mir abhandengekommen, kannst mir den wieder zurück holen? und ihn dann auf laufwerk, departments (\\HostName_717), distribution, formulare reinstellen, vielen dank im voraus.


kind  restore directory schulzgth from public",hallo marfhtyio der ordner schulzgth aus dem laufwerk public HostName ist mir abhandengekommen kannst mir den wieder zur ck holen und ihn dann auf laufwerk departments HostName distribution formulare reinstellen vielen dank im voraus kind restore directory schulzgth from public,de
5291,ugvkyalo ayofwjpi,GRP_42,am keyence messgerät monitor ausgetauscht am keyence messgerät monitor ausgetauscht,am keyence messger monitor ausgetauscht am keyence messger monitor ausgetauscht,de
