,Caller,Assignment group,New Description,Clean_Description,language
4098,pvfclkmn gebyipwr,GRP_30,"电脑意外进水,帮助处理!请交小贺,谢谢 电脑意外进水,帮助处理!请交小贺,谢谢","电脑意外进水,帮助处理!请交小贺,谢谢 电脑意外进水,帮助处理!请交小贺,谢谢",zh-cn
4479,nhrwdaep orvxhyiw,GRP_31,"vpn 不能连接,提示无法找打防病毒软件。 symantec 软件服务不能启动。 vpn 不能连接,提示无法找打防病毒软件。","vpn 不能连接,提示无法找打防病毒软件。 symantec 软件服务不能启动。 vpn 不能连接,提示无法找打防病毒软件。",zh-cn
4487,tmufgokq qtzavows,GRP_31,"vpn 连接后自动断开,提示调制解调器没有找到 vpn 连接后自动断开。","vpn 连接后自动断开,提示调制解调器没有找到 vpn 连接后自动断开。",zh-cn
4502,ncwfeytj tumlheoi,GRP_48,铸造车间记录生产数据的电脑不能开机 铸造车间电脑故障,铸造车间记录生产数据的电脑不能开机 铸造车间电脑故障,zh-cn
4503,igdnsjhz awnftgev,GRP_48,服务器端用友系统最近半个月日备份失败 用友定期备份不成功,服务器端用友系统最近半个月日备份失败 用友定期备份不成功,zh-cn
4599,cnxbswhv qmtngeyh,GRP_30,"outloot  老是提示输入密码,更改密码后无效,请转小贺。 outloot  老是提示输入密码,更改密码后无效,请转小贺。","outloot 老是提示输入密码,更改密码后无效,请转小贺。 outloot 老是提示输入密码,更改密码后无效,请转小贺。",zh-cn
5147,ycjxrsba ehftdorm,GRP_48,"原材料仓库电脑开机蓝屏,主机面板3、4指示灯报警 电脑开机故障","原材料仓库电脑开机蓝屏,主机面板、指示灯报警 电脑开机故障",zh-cn
5149,kclhqspo xvugztyc,GRP_30,"开不了机,显示系统坏了。 开不了机","开不了机,显示系统坏了。 开不了机",zh-cn
5303,hlrmufzx qcdzierm,GRP_30,"报税电脑不能联网,让贺正平休。 报税电脑不能联网,让贺正平休。","报税电脑不能联网,让贺正平休。 报税电脑不能联网,让贺正平休。",zh-cn
5310,dkxstwfq eljczgbn,GRP_31,ie浏览器无法打开。 ie浏览器无法打开。,ie浏览器无法打开。 ie浏览器无法打开。,zh-cn
5489,kcldufqe xghvrzoi,GRP_31,ie 浏览器主页被更改为酒店网站地址。 ie 浏览器主页被更改为酒店网站地址。,ie 浏览器主页被更改为酒店网站地址。 ie 浏览器主页被更改为酒店网站地址。,zh-cn
5754,qekyowtv qdjixvkh,GRP_31,"skype 不能登录,提示证书错误。 skype 不能登录,提示证书错误。","skype 不能登录,提示证书错误。 skype 不能登录,提示证书错误。",zh-cn
5761,cpdilmjx jwsqpiac,GRP_48,"主机不能开启,电源灯正常,主机面板1、3指示灯常亮 主机不能开启","主机不能开启,电源灯正常,主机面板、指示灯常亮 主机不能开启",zh-cn
6098,pqaoenuv dqythubf,GRP_31,"hi gartryhu,

我现在电脑有几个问题,能否远程连接后帮我处理一下。

最近更改密码并试图同步后,同步没完成,开机密码与邮件密码不统一,且不能使用肯纳购物网,最严重的是,vpn现在连不上了,提示是密码错误,可我无论输入原来的密码或更改后的密码,都不能连接,能帮忙解决一下吗?


best  电脑密码同步问题","hi gartryhu, 我现在电脑有几个问题,能否远程连接后帮我处理一下。 最近更改密码并试图同步后,同步没完成,开机密码与邮件密码不统一,且不能使用肯纳购物网,最严重的是,vpn现在连不上了,提示是密码错误,可我无论输入原来的密码或更改后的密码,都不能连接,能帮忙解决一下吗? best 电脑密码同步问题",zh-cn
6106,mzerdtop xnlytczj,GRP_30,早上上班电脑打不开。 电脑不能开机,早上上班电脑打不开。 电脑不能开机,zh-cn
6534,vrmpysoz qkiucpdx,GRP_48,"涂层、管丝车间电话故障,40634943、39523835 涂层、管丝车间电话故障","涂层、管丝车间电话故障,、 涂层、管丝车间电话故障",zh-cn
6535,neovalui kabpfvic,GRP_48,"网络不通,右下角网络图标显示未连接到网络。 网络不通","网络不通,右下角网络图标显示未连接到网络。 网络不通",zh-cn
7307,kyagjxdh dmtjpbnz,GRP_30,实习生登录office365下载邮件附件时报错 实习生登录office365下载邮件附件时报错(转给贺正平),实习生登录office下载邮件附件时报错 实习生登录office下载邮件附件时报错(转给贺正平),zh-cn
7309,aeozwlch lkiocfbn,GRP_30,"餐厅电视机无法播放视频文件,请小贺协助完成。谢谢! 餐厅电视无法播放视频文件","餐厅电视机无法播放视频文件,请小贺协助完成。谢谢! 餐厅电视无法播放视频文件",zh-cn
7314,agyvbnwz mxsonkdc,GRP_48,"制粉三楼控制室内电脑电源线、网线等因高温损坏,需更换。 制粉电脑电源线等损坏","制粉三楼控制室内电脑电源线、网线等因高温损坏,需更换。 制粉电脑电源线等损坏",zh-cn
7316,jtplaoui uvsihfpn,GRP_48,"编辑ppt时,总是弹出""无法检查拼写和语法错误"",也无法安装。 拼写和语法错误","编辑ppt时,总是弹出""无法检查拼写和语法错误"",也无法安装。 拼写和语法错误",zh-cn
7317,kwpzbxvf cvuhoizx,GRP_48,"质控部拉力试验机控制电脑的操作系统启动非常缓慢,控制软件丢失。 电脑故障","质控部拉力试验机控制电脑的操作系统启动非常缓慢,控制软件丢失。 电脑故障",zh-cn
7581,eokwmfay ewbltgha,GRP_31,"vpn 不能登录,网页一直在检查防病毒软件。 vpn 不能登录,网页一直在检查防病毒软件。","vpn 不能登录,网页一直在检查防病毒软件。 vpn 不能登录,网页一直在检查防病毒软件。",zh-cn
7582,omatlyrd bvraipdt,GRP_30,文件无法通过打印机fe08打印 文件无法通过打印机fe08打印,文件无法通过打印机fe打印 文件无法通过打印机fe打印,zh-cn
7588,wgmqlnzh vpebwoat,GRP_30,早上开机后显示器不出图像。 显示器不亮,早上开机后显示器不出图像。 显示器不亮,zh-cn
7941,rtjwbuev gfpwdetq,GRP_31,"prtSID_737--文件无法打印到打印机,提示打印机错误。 文件无法打印到打印机,提示打印机错误。","prtSID_--文件无法打印到打印机,提示打印机错误。 文件无法打印到打印机,提示打印机错误。",zh-cn
7969,fupikdoa gjkytoeh,GRP_48,"客户提供的在线送货单生成系统打不开,需尽快解决 客户提供的在线系统打不开","客户提供的在线送货单生成系统打不开,需尽快解决 客户提供的在线系统打不开",zh-cn
8266,kyagjxdh dmtjpbnz,GRP_30,"进行采购时显示""找不到员工1111154833的数据,请通知系统管理员"" erp无法进行采购(转给贺正平)","进行采购时显示""找不到员工的数据,请通知系统管理员"" erp无法进行采购(转给贺正平)",zh-cn
8471,xqyjztnm onfusvlz,GRP_30,"to 小贺,早上电脑开机开不出来 电脑开机开不出来","to 小贺,早上电脑开机开不出来 电脑开机开不出来",zh-cn
